Дата,Текст
2025-01-30 17:23:49,"**Краткий обзор экономической повестки дня:**

🔹 Банки РФ в 2024 году показали рекордную чистую прибыль в размере 3,8 трлн рублей, говорится в обзоре ЦБ о динамике развития банковского сектора.

🔹 Корпоративное кредитование в декабре показало снижение на 0,2% после роста на 0,8% месяцем ранее за счет погашения или урегулирования старых валютных ссуд, сообщил ЦБ.

🔹 Портфель необеспеченных потребительских кредитов по итогам 2024 года увеличился на 11,2% после 15,7% в 2023 году, говорится в обзоре ЦБ.

🔹 Министерство финансов не слышало о планах ""Транснефти"" снизить дивиденды из-за повышения налога на прибыль до 40%.

🔹 СД ПАО ""Соллерс"" на заседании 30 января утвердил пороговое значение коэффициента ""чистый долг/EBITDA"", рассчитываемого по консолидированной отчетности (МСФО), на уровне 1,5х.

🔹 Банк России вместе с ""Московской биржей"" разработали программу создания акционерной стоимости, участниками которой смогут стать эмитенты из первого и второго уровня листинга.

🔹 Имущественный ценз для получения статуса квалифицированного инвестора повышается с 6 млн до 12 млн рублей, соответствующее указание Банка России опубликовано на сайте регулятора.

#итогидня
@ifax_go"
2025-01-30 16:23:07,"🔺**Минюст РФ зарегистрировал указание о повышении имущественного ценза для ""квалов"" до 12 млн рублей**

Имущественный ценз для получения статуса квалифицированного инвестора повышается с 6 млн до 12 млн рублей. Соответствующее указание Банка России, зарегистрированное Минюстом, опубликовано на сайте регулятора.

С 1 января 2026 года ценз будет увеличен до 24 млн рублей.

Такая мера позволит сократить число случаев, когда человек получает статус квалифицированного инвестора, но при этом не понимает специфику сложных финансовых инструментов и связанных с ними рисков, отмечает ЦБ. Указание вступает в силу по истечении 10 дней после официального опубликования.

Повышение имущественного ценза стало частью реформы квалификации, которую подготовил ЦБ. Ее основная идея в том, чтобы существенно расширить возможности инвесторов становиться ""квалами"" по тем признакам, которые имеют прямое отношение к квалификации, то есть их знаниям и опыту, объяснял руководитель Службы по защите прав потребителей и обеспечению доступности финансовых услуг Банка России Михаил Мамута.

@ifax_go"
2025-01-30 16:04:54,"🛢**Brent подорожала до $77,35 за баррель**

Цены на нефть начали довольно активно расти вечером в четверг.

В центре внимания рынка находится встреча министров стран альянса ОПЕК+, которая состоится в начале следующей недели. В частности, инвесторы ждут, какой ответ даст группа нефтедобывающих стран на призывы президента США Дональда Трампа увеличить добычу.

Мартовские фьючерсы на сорт Brent на лондонской бирже ICE Futures по данным на 18:46 мск подорожали на $0,77 (1,01%), до $77,35 за баррель.

Фьючерсы на нефть WTI на март на Нью-Йоркской товарной бирже увеличились в цене к этому времени на $0,79 (1,09%), до $73,41 за баррель.

@ifax_go"
2025-01-30 16:01:07,"**🇷🇺Рынок акций РФ поднялся к 2970п по индексу МосБиржи на фоне роста нефти**

Рынок акций РФ вечером в четверг смог подрасти на фоне улучшения внешней фондовой и сырьевой конъюнктуры и в ожидании геополитических новостей, сдерживающим фактором выступили ожидания сохранения жесткой ДКП ЦБ РФ из-за сохраняющейся высокой инфляции в России. Индекс МосБиржи поднялся в район 2970 пунктов, индекс РТС обновил на закрытие торгов максимум с конца сентября 2024 года; лидировали в росте акции ""Аэрофлота"" (+5,3%), в аутсайдерах выступили бумаги ""Русала"" (-1,6%).

По итогам основных торгов индекс МосБиржи составил 2967,47 пункта (+0,6%), индекс РТС - 953,84 пункта (+0,6%); цены большинства ""голубых фишек"" на Мосбирже выросли в пределах 2,9%.

Официальный курс доллара США, установленный ЦБ РФ с 31 января, составил 98,0062 руб. (-0,64 копейки).

@ifax_go"
2025-01-30 15:14:48,"🇺🇸**Фондовые индексы США прибавляют 0,1-0,3%**

Американские фондовые индексы начали торги в четверг с позитивной динамикой, участники рынка следят за корпоративной отчетностью и статданными.

Экономика США в четвертом квартале 2024 года увеличилась на 2,3% в пересчете на годовые темпы, по предварительным данным. Аналитики в среднем прогнозировали повышение на 2,6%, сообщает Trading Economics. Темпы экономического роста замедлились по сравнению с 3,1% в третьем квартале прошлого года.

Цена акций Meta (признана в РФ экстремистской организацией и запрещена) растет на 4,1%. Компания увеличила чистую прибыль в IV квартале почти в 1,5 раза, выручку - на 21%, при этом оба показателя превзошли ожидания экспертов.

Стоимость International Business Machines взлетела на 13%. Квартальная прибыль компании без учета разовых факторов составила $3,92 на акцию, превысив прогноз аналитиков в $3,78.

Бумаги Microsoft Corp. подешевели на 5%. Разработчик программного обеспечения в октябре-декабре получил прибыль и выручку выше консенсус-прогноза, однако рост доходов подразделения Intelligent Cloud разочаровал инвесторов.

🔺Dow Jones к 18:06 МСК увеличился на 0,2% и составлял 44787,22 пункта.

🔺Значение S&P 500 с открытия рынка выросло на 0,3% - до 6057,14 пункта.

🔺Индекс Nasdaq поднялся на 0,1% - до 19649,25 пункта.

@ifax_go"
2025-01-30 14:35:27,"💵💶**Официальные курсы ЦБ РФ с 31 января - 98,0062 руб./$1 и 102,7782 руб.****/EUR1**

@ifax_go"
2025-01-30 13:38:04,"**ЦБ и Мосбиржа запускают программу создания акционерной стоимости публичных компаний**

Банк России вместе с ""Московской биржей"" разработали программу создания акционерной стоимости, участниками которой смогут стать эмитенты из первого и второго уровня листинга.

Вступление в программу будет добровольным, подчеркнул первый зампред ЦБ Владимир Чистюхин в ходе ее презентации. Она нацелена на повышение инвестиционной привлекательности, увеличение капитализации и на поддержку лучших корпоративных практик.

Заявки кандидатов будет рассматривать специальный комитет, в который войдут представители Мосбиржи, ЦБ и АКРА. Они будут оценивать корпоративное управление, уровень информационной прозрачности эмитента и его финансово-экономические показатели.

Бумаги эмитентов, которые станут участниками программы, войдут в базу для расчета нового индекса Мосбиржи. __""Фактически речь идет о создании отдельного бенчмарка - эталонной группы эмитентов, способных расти опережающими темпами и тем самым выступать одними из драйверов капитализации всего фондового рынка"",__ - отметил Чистюхин.

Заявки от эмитентов на участие в программе будут приниматься с 31 марта по 15 июня 2025 года.

__""Мы оцениваем, что примерно 15 компаний соответствуют нашим критериям"",__ - сообщил председатель правления Мосбиржи Виктор Жидков. Для запуска нового индекса как минимум четыре эмитента должны вступить в программу, добавил он.

@ifax_go"
2025-01-30 13:20:23,"🇪🇺**ЕЦБ снизил процентные ставки на 25 б.п.**

Европейский центральный банк (ЕЦБ) снизил все три основные процентные ставки на 25 базисных пунктов (б.п.) по итогам январского заседания, завершившегося в четверг.

Как говорится в сообщении регулятора, ставка по депозитам теперь составляет 2,75%, ставка основных операций рефинансирования (main refinancing operations, MRO) - 2,9%, ставка по маржинальным кредитам - 3,15%.

Решение совпало с ожиданиями аналитиков и участников рынка.

__""Дезинфляционный процесс идет в соответствии с планом. Динамика инфляции в целом соответствует ожиданиям сотрудников ЕЦБ и показатель, как ожидается, вернется к целевой среднесрочной цели в 2% в течение этого года""__, - говорится в пресс-релизе.

@ifax_go"
2025-01-30 13:09:25,"🍷**EBITDA LTM ""Новабев групп"" на 30 июня 2024 года выросла на 9%**

EBITDA LTM ""Новабев Групп"", одного из ведущих производителей алкоголя в РФ, на 30 июня 2024 года составила 19,3 млрд рублей, что на 9% больше, чем годом ранее, сообщается в презентации компании для инвесторов.

Чистая выручка LTM выросла на 22%, до 126 млрд рублей, валовая выручка LTM - на 19,7%, до 158 млрд рублей.

@ifax_go"
2025-01-30 12:48:45,"**Банк России отложил планы введения норматива валютной ликвидности**

ЦБ РФ отложил планы введения норматива валютной ликвидности, аппетит банков к валютному риску после усиления санкций снизился, заявил глава департамента банковского регулирования и аналитики ЦБ Александр Данилов в ходе пресс-коференции по итогам развития банковского сектора за 2024 год.

О планах регулятора ввести норматив валютной ликвидности в сентябре прошлого года говорила зампред ЦБ Ольга Полякова. Она отметила, что валютный риск продолжает влиять на деятельность банков.

__""Мы действительно рассматривали введение такого норматива (валютной ликвидности - ИФ), но ситуация изменилась, санкции были введены, и у банков после этого аппетита какого-то большого, насколько мы понимаем, к наращиванию валютных активов просто не осталось"",__ - сказал Данилов.

__""Сейчас мы думаем, не торопимся с этим совершенно, будем смотреть, насколько это вообще нужно. Может быть, скорее даже думаем в сторону какой-то корректировки валютной позиции, (...) нежели норматива валютной ликвидности""__, - добавил он.

По словам директора департамента ЦБ, регулятор хотел ввести норматив из-за роста валютных кредитов и привлечения банками валютных депозитов.

@ifax_go"
