Date,Text
2025-04-29 19:33:08,"**Краткий обзор экономической повестки дня:**

🔹 Минфин РФ предложил установить нулевую ставку НДС при реализации руды и концентратов драгметаллов аффинажным предприятиям.

🔹 ""НОВАТЭК"" в I квартале 2025 года зафиксировал убыток 35,28 млрд руб. по РСБУ против прибыли годом ранее.

🔹 ПАО ""Магнит"" в 2024 году увеличил выручку до 3,04 трлн руб. (+19,6%), но чистая прибыль снизилась на 24,4%, до 50 млрд руб.

🔹 Ozon в I квартале увеличил GMV на 47%, до 837,8 млрд руб., а скорректированная EBITDA выросла в 3,2 раза, до 32,4 млрд руб.

🔹 РЖД в I квартале 2025 года увеличили выручку на 12,6%, до 773,2 млрд руб., чистая прибыль выросла на 6%, до 13,25 млрд руб.

🔹 Число розничных заемщиков банков и МФО во втором полугодии 2024 года сократилось на 0,5 млн до 50,1 млн человек, отмечает ЦБ.

🔹 Минфин РФ 30 апреля проведет аукционы по размещению ОФЗ-ПД серий 26235 и 26246, говорится в сообщении министерства.

🔹 ""Т Плюс"" и ММК рекомендовали не выплачивать дивиденды по итогам 2024 года.

🔹 ""РусГидро"" и ""ЭЛ5-Энерго"" отчитались о снижении и умеренном росте прибыли соответственно в I квартале 2025 года.

🔹 ПАО ""АПРИ"" в 2024 году увеличило выручку в 3,5 раза, до 22,96 млрд руб., чистая прибыль выросла на 25,9%, до 1,9 млрд руб.

🔹 ""Почта России"" получила убыток 17,1 млрд руб. в 2024 году — в 2,1 раза больше, чем годом ранее.

🔹 Globaltruck и ""Росгеология"" также сообщили об убытках за 2024 год, при этом выручка ""Росгеологии"" снизилась на 2,4%.

#итогидня
@ifax_go"
2025-04-29 16:07:40,"🇷🇺 **Рынок акций РФ упал ниже 2960п по индексу МосБиржи на фоне снижения нефти и укрепления рубля**

Рынок акций РФ во вторник снизился на опасениях инвесторов относительно возможного затягивания процесса мирного урегулирования военного конфликта на Украине, а также на фоне отката нефти (фьючерс на Brent опустился ниже $64,5 за баррель), инвесторы ожидали свежих геополитических новостей. Индекс МосБиржи на фоне укрепления рубля упал ниже 2960 пунктов, локомотивом снижения выступили акции ""НОВАТЭКа"" (-4,9%).

По итогам основных торгов индекс МосБиржи составил 2957,66 пункта (-2,5%), индекс РТС - 1142,36 пункта (-1,4%); цены большинства ""голубых фишек"" на Мосбирже снизились в пределах 4,5%.

Официальный курс доллара США, установленный ЦБ РФ с 30 апреля, составил 81,5616 руб. (-98,51 копейки).

@ifax_go"
2025-04-29 15:19:46,"🛢 **Падение цен на нефть усилилось, Brent подешевела до $64,3 за баррель**

Цены на нефть резко снижаются вечером во вторник на опасениях сокращения глобального спроса на топливо из-за продолжающейся торговой войны между США и Китаем.

Стоимость июньских фьючерсов на сорт Brent на лондонской бирже ICE Futures по данным на 17:49 мск снижается на $1,55 (2,35%), до $64,31 за баррель.

Фьючерсы на нефть WTI на июнь на торгах Нью-Йоркской товарной биржи (NYMEX) подешевели к этому времени на $1,45 (2,34%), до $60,6 за баррель.

""Рынок начинает осознавать, что экономический рост в последние месяцы был главным образом вызван активными закупками в ожидании пошлин, - сказал старший аналитик A/S Global Risk Management Арне Лохман Расмуссен. - Этот фактор сходит на нет, что может привести к резкому замедлению роста экономики США, поскольку мы видим уменьшение запасов из-за активного потребления, а не рост производства"".

@ifax_go"
2025-04-29 15:18:34,"**Всемирный банк прогнозирует снижение мировых цен на сырьевые товары до минимумов с 2020 года**

Мировые цены на сырьевые товары будут снижаться в ближайшие два года на фоне замедления темпов глобального экономического роста, говорится в обзоре Всемирного банка Commodity Markets Outlook.

Индекс цен на сырьевые товары, рассчитываемый ВБ, снизится на 12% в 2025 году и еще на 5% в 2026 году, в результате чего он опустится до минимумов с 2020 года, прогнозируют эксперты организации.

Это станет концом бума, вызванного восстановлением мировой экономики от последствий пандемии COVID-19 и конфликта на Украине, говорится в обзоре.

Согласно прогнозу ВБ, мировые цены на энергоносители снизятся на 17% в текущем году - до минимума за пять лет, и уменьшатся еще на 6% в 2026 году. Средняя цена нефти Brent в этом году составит $64 за баррель против $81 за баррель в 2024 году и опустится до $60 за баррель в следующем году, ожидают в ВБ.

По прогнозу организации, глобальное предложение нефти в этом году превысит спрос на 0,7 млн баррелей в сутки. Этому будет способствовать в том числе и сокращение потребления нефти в Китае за счет развития рынка электромобилей.

Эксперты ВБ также прогнозируют снижение цен на уголь на 27% в 2025 году и на 5% в 2026 году. Продовольствие в текущем году, как ожидается, подешевеет на 7%, а в следующем - еще на 1%.

Согласно прогнозу ВБ, средняя цена золота в 2025 году достигнет очередного рекорда и стабилизируется в 2026 году. Сохранению интереса к драгметаллу будет способствовать спрос на активы ""тихой гавани"" в условиях повышенной политической неопределенности, финансовой волатильности, а также роста торговой напряженности, говорится в обзоре.

@ifax_go"
2025-04-29 15:17:17,"**""Норникель"" доразмещает бонды с расчетами в рублях на $200 млн, тем самым увеличив объем выпуска до $1 млрд**

ПАО ""Норильский никель"" зафиксировало объем дополнительного выпуска долларовых облигаций серии БО-001Р-08-USD с расчетами в рублях в размере $200 млн, таким образом, с учетом основного выпуска общий объем займа составит $1 млрд, сообщил ""Интерфаксу"" источник на финансовом рынке.

Сбор заявок на допвыпуск прошел 29 апреля с 11:00 до 15:00 мск.

При открытии книги заявок ориентир по цене составлял не менее 101% от номинала, финальный ориентир цены установлен на уровне 101,1% от номинала, ему соответствует доходность к оферте (в марте 2026 года) на уровне 6,93% годовых. Номинал одной облигации - $100.

Расчеты по облигациям будут осуществляться в рублях по курсу ЦБ РФ на дату, в которую совершается сделка купли-продажи бумаг при размещении, либо по курсу ЦБ на рабочий день, предшествующий дате выплаты купона/погашения.

Агентом по размещению выступает компания ""Ньютон Инвестиции"". Техразмещение пройдет 5 мая.

@ifax_go"
2025-04-29 13:54:26,"**Дефицит США во внешней торговле товарами в марте составил рекордные $162 млрд**

Дефицит во внешней торговле товарами в Соединенных Штатах в марте подскочил до $162 млрд по сравнению со $147,9 млрд в феврале, по данным Бюро переписи населения США.

Это рекордное значение показателя за всю историю его подсчета.

Опрошенные Trading Economics аналитики прогнозировали, что дефицит составит $146 млрд.

Резкий рост дефицита во внешней торговле товарами был вызван тем, что американские компании активно наращивали запасы иностранных товаров в ожидании введения импортных пошлин.

Импорт товаров в США в марте подскочил на 5% в помесячном выражении и на 30,8% год к году, до $342,7 млрд. В том числе импорт потребительских товаров взлетел на 55,5% в годовом выражении, до $102,8 млрд, промышленных товаров - на 37,8%, до $74,6 млрд, средств производства - на 22,2%, до $92,8 млрд.

Тем временем экспорт повысился на 1,2% к февралю и на 6,8% к марту 2024 года, до $180,8 млрд.

@ifax_go"
2025-04-29 13:53:14,"**НОВАТЭК получил чистый убыток за I кв. по РСБУ в 35,3 млрд руб.**

""НОВАТЭК"" в первом квартале 2025 года получил чистый убыток в 35,28 млрд рублей по стандартам РСБУ против прибыли в 65,09 млрд рублей годом ранее, говорится в отчетности.

Выручка компании в первом квартале 2025 года составила 258,04 млрд рублей по сравнению с 218,73 млрд рублей годом ранее (рост на 18%), а себестоимость продаж увеличилась на 18,7% - до 161,3 млрд рублей. Прибыль от продаж выросла в 1,7 раза и достигла 45,06 млрд рублей.

Рост по статье ""прочие расходы"" до 113,56 млрд рублей в первом квартале текущего года по сравнению с 4,4 млрд рублей в том же квартале 2024 года, сокращение доходов от участия в других организациях с почти 30 млрд рублей в I кв. 2024 года до 3,2 млрд рублей в отчетном периоде привели к убытку до налогообложения в 47,76 млрд рублей против прибыли в 73,16 млрд рублей годом ранее.

@ifax_go"
2025-04-29 12:55:33,"**Минфин РФ 30 апреля проведет аукционы по размещению ОФЗ 26235 и 26246**

Министерство финансов России 30 апреля проведет аукционы по продаже ОФЗ-ПД серии 26235 и ОФЗ-ПД серии 26246 в объемах остатков, доступных для размещения в каждом выпуске, говорится в сообщении Минфина.

Облигации серии 26235 с погашением 12 марта 2031 года имеют 20 полугодовых купонных периодов и первый купонный период - 161 день, дата выплаты 10-го купонного дохода - 17 сентября 2025 года. Ставка купонного дохода определена в размере 5,9% годовых (1-й купон - 26,02 рубля на облигацию и 2-21-й купоны - 29,42 рубля на облигацию).

Облигации серии 26246 с погашением 12 марта 2036 года имеют 23 полугодовых купонных периода и первый купонный период - 133 дня, дата выплаты 3-го купонного дохода - 24 сентября 2025 года. Ставка купонного дохода определена в размере 12% годовых (1-й купон - 43,73 рубля на облигацию и 2-24-й купоны - 59,84 рубля на облигацию).

@ifax_go"
2025-04-29 11:00:56,"**Тремасов: сценарий ""мягкой посадки"" экономики РФ имеет больше шансов на реализацию**

Сценарий с замедлением роста экономики РФ имеет ""гораздо больше"" шансов на реализацию, чем вариант со спадом, считает советник председателя Банка России Кирилл Тремасов.

""Один сценарий, его сейчас называют soft landing - мягкой посадки. Это хороший сценарий для нынешней ситуации"", - сообщил Тремасов на конференции ""Экономика в условиях высокой ключевой ставки"", организованной газетой ""Ведомости"".

Позитивность этого сценария в том, что спрос приторможен, экономика его догоняет, восстанавливается ценовая стабильность и происходит смягчение денежно-кредитной политики. ""И мы по этой устойчивой траектории (роста экономики - ИФ) продолжаем двигаться вверх"", - заявил он.

Негативный сценарий заключается в том, что до возвращения экономики РФ к сбалансированному состоянию может произойти ее спад.

""Мы пока видим больше, намного больше шансов реализации первого сценария"", - сказал Тремасов.

Он добавил, что после двух лет бурного роста экономики некоторое его замедление - ""это естественный, абсолютно нормальный процесс"".

""Развилка сейчас не в том, сохраним мы высокие темпы роста или замедлимся. Развилка в том, замедлимся мы в условиях возвращения ценовой стабильности или по-прежнему будет оставаться состояние высокой инфляции, но все равно замедляясь"", - отметил советник председателя ЦБ.

Замедление экономики в 2025 году он назвал неизбежным. ""Экономика действительно отклонилась от своих потенциальных возможностей, и требуется возвращение на траекторию сбалансированного роста. Вопрос - удастся ли вернуться на эту траекторию без спада"", - подчеркнул он.

@ifax_go"
2025-04-29 07:10:42,"🇷🇺 **Рынок акций РФ открылся в основную сессию снижением индексов МосБиржи и РТС на 1,3%**

Рынок акций РФ на старте торгов основной сессии на Мосбирже во вторник снизился на фоне опасения затягивания процесса мирного урегулирования военного конфликта на Украине, игроки фиксируют прибыль после активного роста накануне, вызванного решением президента РФ Владимира Путина объявить перемирие на Украине в дни 80-летия Победы; сдерживающим фактором для покупателей выступает просевшая нефть (фьючерс на Brent опустился в район $65 за баррель). Индексы МосБиржи и РТС за минуту торгов снизились на 1,3% к уровню закрытия основной сессии накануне, в лидерах отката выступили акции ""ПИКа"" (-3%), ""ВК"" (-2,4%), ""ММК"" (-2%), ""НОВАТЭКа"" (-2%).

К 10:01 МСК индекс МосБиржи составил 2994,99 пункта (-1,3%), индекс РТС - 1142,97 пункта (-1,3%); цены большинства ""голубых фишек"" на Мосбирже снизились в пределах 1,9%.

Официальный курс доллара США, установленный ЦБ РФ с 29 апреля, составляет 82,5467 руб. (-10,82 копейки).

@ifax_go"
