Дата,Текст
2025-05-23 17:26:40,"**Краткий обзор экономической повестки дня:**

🔹 Чистый убыток ПАО ""Совкомфлот"" по МСФО в I квартале 2025 году составил $393,014 млн по сравнению с прибылью $216,019 млн годом ранее.

🔹 Совет директоров ПАО ""Мегафон"" рекомендовал внеочередному собранию акционеров утвердить дивиденды за I квартал в размере 6,46 рубля на акцию.

🔹 Совет директоров ПАО ""Элемент"" рекомендовал направить на дивиденды 1,66 млрд рублей из чистой прибыли по итогам 2024 года.

🔹 Годовое собрание акционеров ""СПБ биржи"" пройдет 26 июня в онлайн-формате.

🔹 Совет директоров ПАО ""Научно-производственная корпорация ""Объединенная вагонная компания"" (НПК ОВК) рекомендовал акционерам не выплачивать дивиденды за 2024 г.

🔹 Совет директоров МКПАО ""Лента"" рекомендовал акционерам не выплачивать дивиденды за 2024 год.

🔹 Действие механизма признания компаний экономически значимыми организациями (ЭЗО) будет продлено еще на один год - до конца 2026 года, свидетельствует законопроект, подготовленный ко второму чтению комитетом Госдумы по собственности.

🔹 Чистая прибыль ""СИБУР Холдинга"" в I квартале текущего года составила 40,4 млрд рублей, что на 14,4% меньше, чем годом ранее.

🔹 Каршеринговый сервис ""Ситидрайв"" (входит в экосистему Сбера) обсуждал с акционерами возможность проведения IPO, но было решено пока не привлекать средства на открытом рынке - для развития сейчас достаточно средств текущих акционеров, сообщил журналистам генеральный директор компании Эдуард Мингажев.

#итогидня 
@ifax_go"
2025-05-23 15:57:40,"🇷🇺**Рынок акций РФ завершил пятницу и неделю снижением**

Рынок акций РФ в пятницу снизился на негативных сигналах с мировых фондовых площадок и на опасениях длительного процесса урегулирования украинского конфликта, фактором поддержки выступила отскочившая вверх нефть на заявлениях президента США Дональда Трампа о пошлинах на импорт из ЕС. Индекс МосБиржи откатился до 2770 пунктов, локомотивом снижения выступили акции ""НЛМК"" (-6%), а во ""втором эшелоне"" выстрелили вверх бумаги ""ОГК-2"" (+11,7%) на дивидендных новостях.

По итогам основных торгов индекс МосБиржи составил 2770,1 пункта (-0,8%), индекс РТС - 1094,76 пункта (-0,8%); цены большинства ""голубых фишек"" на Мосбирже снизились в пределах 3,6%.

За неделю индексы РТС и МосБиржи снизились на 1,2-2,5%, доллар от ЦБ РФ подешевел на 1,06 рубля.

@ifax_go"
2025-05-23 15:07:47,"🛢**Brent подорожала до $64,8 за баррель**

Цены на нефть вновь повышаются, восстановив потери, понесенные ранее после того, как президент США Дональд Трамп заявил, что рекомендовал ввести пошлину на импорт товаров из Европейского союза в размере 50%.

Стоимость июльских фьючерсов на сорт Brent на лондонской бирже ICE Futures по данным на 17:37 мск повысилась на $0,35 (0,54%), до $64,8 за баррель.

Фьючерсы на нефть WTI на июль на торгах Нью-Йоркской товарной биржи подорожали к этому времени на $0,44 (0,72%), до $61,64 за баррель.

Ранее в пятницу котировки обоих контрактов упали более чем на 1% на заявлениях Трампа о безрезультатности переговоров с ЕС.

@ifax_go"
2025-05-23 15:03:55,"**Совет директоров ПАО ""Россети"" рекомендовал не платить дивиденды за 2024 год**

Акционерам ПАО ""Россети"" будет предложено утвердить отказ от дивидендов за 2024 год, сообщила компания.

Годовое собрание акционеров пройдет 27 июня в заочном формате. Реестр для участия в нем закроется 2 июня.

@ifax_go"
2025-05-23 14:45:41,"⚖️**ЦБ уличил гендиректора МГКЛ в инсайдерских сделках с акциями компании перед публикацией отчета**

Банк России установил факты неправомерного использования инсайдерской информации генеральным директором ПАО ""МГКЛ"" Алексеем Лазутиным и его женой Линдой Лазутиной для совершения операций с акциями компании, говорится в сообщении ЦБ.

По данным ЦБ, Лазутин 21 февраля 2024 года подписал годовую бухгалтерскую отчетность МГКЛ за 2023 год, откуда получил информацию о росте чистой прибыли за отчетный год. С 6 по 26 марта Лазутин, неправомерно используя эту инсайдерскую информацию, совершил 478 сделок по покупке акций МГКЛ.

__""В период с 09.03.2024 по 10.04.2024 в обществе действовал запретительный период на совершение сделок с акциями, установленный в течение 30 календарных дней до публикации отчетности. Таким образом, Лазутин А.А. совершал сделки с акциями с неправомерным использованием инсайдерской информации, в том числе в запретительный период""__, - отмечает регулятор.

Позднее, 8 апреля, МГКЛ опубликовало годовую отчетность за 2023 год, выход которой оказал существенное влияние на цену акций. Начиная с 8 апреля, после публикации отчетности, Лазутин провел серию сделок по продаже приобретенного объема акций по цене, превышающей цену покупки.

ЦБ также установил, что Лазутин, обладая инсайдерской информацией, переводил своей жене денежные средства, которые впоследствии были использованы ею для совершения сделок с акциями.

@ifax_go"
2025-05-23 14:01:46,"💵💶**Официальные курсы ЦБ РФ с 24 мая - 79,7108 руб./$1 и 90,5207 руб.****/EUR1**

@ifax_go"
2025-05-23 13:53:16,"🇺🇸**Индексы США падают на 0,8-1,1% в начале торгов**

Американские фондовые индексы падают в начале торгов в пятницу после заявлений президента США Дональда Трампа о пошлинах.

В частности, Трамп рекомендовал ввести пошлину на импорт товаров из Европейского союза в размере 50% с 1 июня. __""Наши переговоры с ними ни к чему не приводят,__ - написал он в своей соцсети Truth Social. -__ Поэтому я рекомендую ввести прямой тариф в 50% в отношении Европейского союза с 1 июня 2025 года"".__ Пошлины не будут взиматься с товаров, произведенных в США, добавил президент.

Американский лидер также пригрозил Apple Inc. ввести пошлину __""как минимум в 25%""__ на продаваемые в США iPhone, если они производятся за пределами страны. Акции Apple дешевеют на 2,8% в начале торгов.

Другие представители ""великолепной семерки"" (Magnificent Seven) также заметно теряют в капитализации: Microsoft Corp. - 1,1%, Nvidia Corp. - 2,3%, Amazon.com Inc. - 1,8%, Meta (признана в РФ экстремистской организацией и запрещена) - 1,4%, Alphabet Inc. - 0,7%, Tesla - 1,5%.

🔻Dow Jones к 16:37 мск понизился на 0,82% и составил 41516,55 пункта.

🔻S&P 500 уменьшился на 0,89% - до 5790,26 пункта.

🔻Nasdaq потерял 1,14% и составил 18710,58 пункта.

@ifax_go"
2025-05-23 13:48:45,"**Чистая прибыль ""СИБУРа"" по РСБУ в I квартале снизилась на 14%**

Чистая прибыль ""СИБУР Холдинга"" в первом квартале текущего года составила 40,4 млрд рублей, что на 14,4% меньше, чем годом ранее, говорится в отчете компании.

Выручка увеличилась на 12,6% - до 305 млрд рублей, а себестоимость продукции выросла с 182,5 млрд руб. до 266 млрд руб.

В итоге валовая прибыль ""СИБУРа"" оказалась в 2,2 раза меньше - 39 млрд руб., а прибыль от продаж - почти в четыре раза меньше - 20,8 млрд рублей.

Благодаря курсовым разницам по операциям в валюте (64,5 млрд рублей) прибыль до налогообложения составила 54,5 млрд рублей против 56,4 млрд рублей годом ранее.

@ifax_go"
2025-05-23 13:31:31,"🔺**Акции ""ОГК-2"" взлетели в цене на 17,6% на рекомендации СД выплатить дивиденды за 2024 год в размере 0,0598 рубля**

Акции ""ОГК-2"" в ходе торгов на Московской бирже в пятницу взлетели в цене на 17,6% (до 0,3965 рубля за штуку).

Совет директоров ПАО ""ОГК-2"" рекомендовал выплатить дивиденды за 2024 год в размере 0,0598 руб. на акцию, сообщила компания. Дивидендная отсечка установлена на 10 июля 2025 года.

@ifax_go"
2025-05-23 12:38:15,"**Правительство РФ согласовало новую программу поддержки МСП при выходе на рынок капитала**

Правительство РФ перезапускает программу поддержки субъектов малого и среднего предпринимательства (МСП), которые хотят выйти на фондовый рынок, сместив фокус на долевое финансирование.

Прошлая программа поддержки субъектов МСП действовала в 2019-2024 гг. в рамках нацпроекта ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы"".

В рамках новой программы было решено отказаться от субсидирования купона по облигациям, установить запрет на участие компаний, входящих в группы с выручкой свыше 2 млрд рублей, исключить из перечня поддерживаемых отраслей строительство и торговлю, сообщила замминистра экономического развития Татьяна Илюшникова на конференции ""Новые возможности привлечения финансирования субъектами МСП и МТК на рынке капитала"".

Компании, в частности, смогут частично компенсировать затраты при размещении акций на бирже: до 15 млн рублей для субъектов МСП из приоритетных отраслей. При этом для получения субсидий будут действовать условия: минимальный объем привлеченного финансирования должен составлять 150 млн рублей, free-float - 10%. Также можно будет компенсировать затраты, понесенные в процессе размещения облигаций: до 3 млн рублей за одно размещение.

Первый отбор получателей субсидий запланирован на июнь-июль.

@ifax_go"
